DIN;Format d'acq.;Unité Fmt;Nom;Dosage;Forme;Catégorie
97799075;1;UN                            ;FREESTYLE LIBRE 2 CAPTEUR     ;               ;GLUCO.      ;
55033214;1;UN                            ;FREESTYLE LIBRE 2 FLASH       ;LECTEUR        ;GLUCO.      ;
1111120;1;UN                            ;FREESTYLE LIBRE 3 LECTEUR     ;               ;GLUCO.      ;
99114518;1;UN                            ;FREESTYLE LIBRE 3 PLUS CAPTEUR;               ;GLUCO.      ;
97799632;1;UN                            ;FREESTYLE LITE                ;70417-03       ;GLUCO.      ;
55047528;3,5;G                             ;SYSTANE OINTMENT              ;SOUL.NOCTURNE  ;ONG OPHT    ;
2498073;30;CO/CAPS                       ;ITULATEK                      ;12 UI          ;CO SL       ;
99101124;10;ML                            ;POLYVALENT POLLENS NON-STAND. ;(10ML) ACARIENS;SOL INJ     ;
55009954;1;UN                            ;AMG PHYSIO L.ESSENTIA         ;106-930        ;TENSI.      ;
55555564;1;UN                            ;CONTOUR NEXT GEN              ;GLYCEMIE       ;GLUCO.      ;
55555564;1;UN                            ;CONTOUR NEXT GEN              ;GLYCEMIE ENS.  ;GLUCO.      ;
55555559;1;UN                            ;CONTOUR NEXT ONE              ;GLYCEMIE       ;GLUCO.      ;
832138;450;ML                            ;DEXIDIN DETERGENT             ;2%;LIQ         ;
2260557;15;CO/CAPS                       ;CLARITIN ALL.+SINUS           ;10MG-240MG X-F ;CAPLET      ;
99100517;100;UN                            ;B.D. AUTOSHIELD #329505       ;30G 5MM        ;AIG         ;
99005077;100;UN                            ;B.D. ECLIPSE #305767          ;"25G 1 1/2""     ";AIG         ;
99101335;100;UN                            ;B.D. INTEGRA #305271 RETRACT. ;"3ML 23G 1""     ";SER         ;
99002205;100;UN                            ;B.D. LUER-LOK #309577         ;"3ML 21G 1 1/2"" ";SER         ;
99002205;100;UN                            ;B.D. LUER-LOK #309582         ;"3ML 25G 1 1/2"" ";SER         ;
99100499;30;UN                            ;B.D. POSIFLUSH SP #306592     ;NACL 0.9% 10ML ;SER INJ     ;
99002345;100;UN                            ;B.D. PRECISION GLIDE #309626  ;"1ML 25G 5/8""   ";SER         ;
99101194;100;UN                            ;B.D. PRECISIONGL.#305122      ;"25G 5/8""       ";AIG         ;
80118645;30;CO/CAPS                       ;FERAMAX PD MAINTENANCE 45     ;ORANGE         ;CO CROQ     ;
80039889;10;UN                            ;REPAGYN                       ;SUPP.VAGINAUX  ;OV          ;
55689235;1;UN                            ;HYPAFIX #7144301              ;5CMX10M        ;RUBAN       ;
55689231;1;UN                            ;HYPAFIX #7144302              ;10CMX10M       ;RUBAN       ;
55014163;10;ML                            ;HYLO                          ;1MG/ML         ;GTE OPHT    ;
55014164;10;CO/CAPS                       ;HYLO                          ;2MG/ML         ;GEL OPHT    ;
55033155;10;ML                            ;HYLO DUAL INTENSE             ;               ;GTE OPHT    ;
55017306;10;ML                            ;HYLO-DUAL                     ;SANS PHOSPHATE ;GTE OPHT    ;
55015544;5;G                             ;OCUNOX                        ;A/VITAMINE A   ;ONG OPHT    ;
99100593;6;UN                            ;ACTICOAT FLEX 3 #66800432     ;40X40CM        ;PAN         ;
99100495;24;UN                            ;ADAPTIC NON-ADH.#2015         ;7.6X20.3CM     ;PAN         ;
960330;50;UN                            ;BACTIGRAS #7456               ;5X5CM 0.5%     ;PAN         ;
433497;10;UN                            ;BACTIGRAS #7457               ;10X10CM 0.5%   ;PAN         ;
99100098;25;G                             ;IODOSORB                      ;               ;PATE        ;
99100098;30;G                             ;IODOSORB                      ;               ;PATE        ;
99100099;40;G                             ;IODOSORB #66060630 (4X10G)    ;               ;ONG TOP     ;
99100099;40;G                             ;IODOSORB #66060631 (2X20G)    ;               ;ONG TOP     ;
99100099;40;G                             ;IODOSORB #66060632 (40G)      ;               ;ONG TOP     ;
55689228;100;UN                            ;OPSITE FLEXIGRID #4628        ;6X7CM          ;PAN         ;
55813401;1;UN                            ;PRIMAPORE #7135               ;8.3X6CM        ;PAN         ;
99100612;10;UN                            ;BIATAIN ADH.MOUSSE #3430      ;10X10 CM       ;PAN         ;
99100135;10;UN                            ;BIATAIN N.ADH.MOUSSE #3410    ;10X10 CM       ;PAN         ;
99100571;5;UN                            ;BIATAIN N.ADH.MOUSSE #3413    ;15X15 CM       ;PAN         ;
99100820;10;UN                            ;BIATAIN SILICONE #33435       ;10X10 CM       ;PAN         ;
99101211;10;UN                            ;BIATAIN SILICONE LITE #33444  ;7.5X7.5 CM     ;PAN         ;
99100952;10;UN                            ;BIATAIN SILICONE LITE #33445  ;10X10 CM       ;PAN         ;
55193031;170;G                             ;COLOPLAST #1967 TRIAD PATE    ;HYDROPHILE     ;PATE STOMIE ;
99001705;5;UN                            ;CONVATEC #403770 AQUACEL HYDRO;2X45 CM        ;MECHE       ;
99101231;10;UN                            ;CONVATEC #413566 AQUACEL AG+  ;EXTRA 5X5 CM   ;PAN         ;
99101228;10;UN                            ;CONVATEC #413567 AQUACEL AG+  ;EXTRA 10X10 CM ;PAN         ;
99101229;5;UN                            ;CONVATEC #413568 AQUACEL AG+  ;15X15 CM EXTRA ;PAN         ;
55035488;5;UN                            ;CONVATEC #413570 AQUACEL AG + ;1X45 CM        ;MECHE       ;
99100977;10;UN                            ;CONVATEC #420619 AQUACEL FOAM ;12.5X12.5CM ADH;PAN         ;
99100944;10;UN                            ;CONVATEC #420621 AQUACEL FOAM ;ADH 17.5X17.5CM;PAN         ;
99101002;10;UN                            ;CONVATEC #420628 AQUA.FOAM AG ;ADH.17.5X17.5CM;PAN         ;
99100975;10;UN                            ;CONVATEC #420633 AQUACEL FOAM ;NON-ADH 10X10CM;PAN         ;
99100932;5;UN                            ;CONVATEC #420635 AQUACEL FOAM ;NON-ADH 15X15CM;PAN         ;
99100931;5;UN                            ;CONVATEC #420637 AQUACEL FOAM ;NON-ADH 15X20CM;PAN         ;
99101000;5;UN                            ;CONVATEC #420645 AQUA.FOAM AG ;N-ADH. 15X15CM ;PAN         ;
99101094;5;UN                            ;CONVATEC #420648 AQUA.FOAM AG ;17X20CM SACRAL ;PAN         ;
99101009;10;UN                            ;CONVATEC #420672 AQUACEL EXTRA;10X10 CM       ;PAN         ;
99101010;5;UN                            ;CONVATEC #420673 AQUACEL EXTRA;15X15 CM       ;PAN         ;
99100953;10;UN                            ;CONVATEC #420676 AQUACEL AG   ;EXTRA 10X10CM  ;PAN         ;
99113982;5;UN                            ;CONVATEC AQUAC.FOAM PRO#421580;24X21CM SACRUM ;PAN         ;
99113979;10;UN                            ;CONVATEC AQUAC.FOAM PRO#422357;10X10 CM       ;PAN         ;
99113984;10;UN                            ;CONVATEC AQUAC.FOAM PRO#422358;15X15 CM       ;PAN         ;
99101327;10;UN                            ;CONVATEC FOAMLITE #421559     ;10X10CM MOUSSE ;PAN         ;
99004976;5;UN                            ;DUODERM #403326 SIGNAL        ;10X10CM        ;PAN         ;
886319;500;ML                            ;PERS. HUILE AMANDE DOUCE      ;               ;LIQ         ;
99113874;3;UN                            ;DEXCOM G6 CAPTEUR             ;               ;CAPTEUR     ;
99113875;1;UN                            ;DEXCOM G6 EMETTEUR            ;               ;EMETTEUR    ;
99114362;1;UN                            ;DEXCOM G7 CAPTEUR             ;10 JOURS       ;CAPTEUR     ;
1111078;1;UN                            ;DEXCOM G7 CAPTEUR             ;DE REMPLACEMENT;XX          ;
1111063;1;UN                            ;DEXCOM G7 RECEPTEUR           ;               ;APP         ;
99100338;10;UN                            ;CONVATEC #403708 AQUACEL AG   ;10X10CM        ;PAN         ;
99002345;100;UN                            ;TERUMO TUBERCULINE SS01T2516  ;1ML 25G 5/8    ;SER         ;
55031654;1;G                             ;NITROGLYCERINE                ;               ;PD MAG      ;
2415089;5;UN                            ;HUMULIN R KWIKPEN 3ML         ;100 U/ML       ;STYLO INJ   ;
80073895;10;ML                            ;BIOGAIA GOUTTES AVEC VIT.D    ;PROBIOTIQUE    ;LIQ         ;
55016179;25;G                             ;ACIDE ASCORBIQUE              ;AS890          ;PD MAG      ;
99100481;25;G                             ;BACLOFENE USP                 ;BA110          ;PD MAG      ;
55010139;25;G                             ;BENZOYLE PEROXYDE             ;BE460          ;PD MAG      ;
99001519;100;CO/CAPS                       ;CAPSULE VIDE NO-0             ;               ;CAPS MAG    ;
