;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Rapport d'inventaire;;;;;;;;;;;;;;Date : 2026-07-09;;
;;;;;;;;;;;;;;;;;;;;;;Page : 1/1;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
De;2026-06-01;;;À;;2026-07-09;;;;;Médicaments externes;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Nom;;Conc.;;;;;DIN;;;# Prod.;;Mfr;Qté Dist.;Qté Inv.;# Cont.;Coût;Total;;;No. d'identification;Code UPC;;Classe AHFS;
3TC;;300 MG;;;;;02247825;;;_;;VIIV HEALT;0;0;Ext.;0.00;0.00;;;02247825;062021200050;;Autres médicaments;
3TC;;150 MG;;;;;02192683;;;_;;VIIV HEALT;0;0;Ext.;0.00;0.00;;;02192683;062021200029;;Autres médicaments;
A.G. ULTRAVISION;;CATARACTES;;;;;80087481;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80087481;063935021526;;Autres médicaments;
A.G. VITAMINE C;;500 MG;;;;;80101682;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80101682;063935024107;;Autres médicaments;
A.G. VITAMINE C;;250MG;;;;;80101630;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80101630;063935024206;;Autres médicaments;
A.G.ACIDE FOLIQUE;;1 MG;;;;;80009403;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80009403;063935014542;;Autres médicaments;
A.G.B6 B12/ACIDE FOLIQUE(BONI);;_;;;;;80050952;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80050952;063935015594;;Autres médicaments;
A.G.BETA CAROTENE;;10000UI;;;;;80042549;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80042549;063935014450;;Autres médicaments;
A.G.BETA CAROTENE;;10000UI;;;;;80042549;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80042549;063935014450;;Autres médicaments;
A.G.BIOTINE;;5000 MCG;;;;;80086400;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80086400;063935021229;;Autres médicaments;
A.G.BIOTINE;;10000 MCG;;;;;80086368;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80086368;063935021236;;Autres médicaments;
A.G.CALCIUM MAGNESIUM;;+ VIT.D 400 UI;;;;;80005606;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80005606;063935011213;;Autres médicaments;
A.G.CALCIUM MAGNESIUM;;VIT.D+ZINC;;;;;02040980;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;02040980;063935010476;;Autres médicaments;
A.G.CHEV/PEAU/ONGLES SAINS;;2500 MCG;;;;;80078022;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80078022;063935018809;;Autres médicaments;
A.G.COLLAGENE;;TRIPLE ACTION;;;;;80026985;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80026985;063935013545;;Autres médicaments;
A.G.CURCUMA A/BIOPERINE;;_;;;;;80071918;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80071918;063935018403;;Autres médicaments;
A.G.CURCUMA/GLUCOSAMINE;;700 MG;;;;;80096604;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80096604;063935023704;;Autres médicaments;
A.G.DIGEST 365;;DIGES/LENT;;;;;80004474;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80004474;063935013002;;Autres médicaments;
A.G.ECHINACEE;;1000 MG;;;;;80003078;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80003078;063935006707;;Autres médicaments;
A.G.ENZYME PAPAYE;;29.5 MG;;;;;00453293;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;00453293;063935007179;;Autres médicaments;
A.G.FEMINEX MENO APAISANT;;_;;;;;80000885;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80000885;063935018762;;Autres médicaments;
A.G.GLUCOSAMINE (BONI);;500 MG;;;;;80000425;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80000425;063935016041;;Autres médicaments;
A.G.GLUCOSAMINE COLLAGENE;;_;;;;;80003045;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80003045;063935012586;;Autres médicaments;
A.G.GLUCOSAMINE X-FORT (BONI);;750MG;;;;;80000886;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80000886;063935016034;;Autres médicaments;
A.G.GLUCOSAMINE/CHONDRO;;900 MG;;;;;80000394;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80000394;063935006912;;Autres médicaments;
A.G.GRIFFE DU DIABLE;;1300 MG X-F;;;;;80029377;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80029377;063935004345;;Autres médicaments;
A.G.LEVURE DE BIERE;;_;;;;;80006280;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80006280;999999999999;;Autres médicaments;
A.G.MAGNESIUM;;100MG;;;;;80040375;;;_;;SANTE NAT.;0;0;Ext.;0.09;0.00;;;80040375;063935014351;;Autres médicaments;
A.G.MAGNESIUM;;250MG X-F;;;;;80040370;;;_;;SANTE NAT.;0;0;Ext.;0.11;0.00;;;80040370;063935014498;;Autres médicaments;
A.G.MAGNESIUM MINERRAUX;;250 MG/X-F;;;;;80124084;;;;;ADRIEN GAGNON;0;0;Ext.;0.11;0.00;;;80124084;063935028242;;Autres médicaments;
A.G.MAXI AIL;;SANS ODEUR;;;;;80029874;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80029874;063935004291;;Autres médicaments;
A.G.MAXI AIL X-FORT;;2750 MCG;;;;;80031612;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80031612;063935006691;;Autres médicaments;
A.G.MELATONINE DISS/RAP;;5 MG;;;;;80052641;;;_;;SANTE NAT.;0;0;Ext.;0.10;0.00;;;80052641;063935026095;;Autres médicaments;
A.G.MELATONINE GO SOMMEIL;;SANS REVEILS;;;;;80077423;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80077423;063935016430;;Autres médicaments;
A.G.MELATONINE GUMMIES;;FRAISE S/SUCRE;;;;;80091158;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80091158;063935024367;;Autres médicaments;
A.G.MELATONINE S/SUCRE GUMMIES;;10 MG/CERISE;;;;;80095820;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80095820;063935025821;;Autres médicaments;
A.G.MELATONINE X-FORT;;10 MG D/ACTION;;;;;80044500;;;_;;SANTE NAT.;28;0;Ext.;0.16;0.00;;;80044500;063935014818;;Autres médicaments;
A.G.MENO APAISANT EXTRA;;_;;;;;80026169;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80026169;063935018779;;Autres médicaments;
A.G.MULTI ENF.S/SUCRE GUMMIES;;CERISE/ORANGE;;;;;80049060;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80049060;063935025562;;Autres médicaments;
A.G.NEM ANTI-DOULEUR;;500 MG;;;;;80033753;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80033753;063935016577;;Autres médicaments;
A.G.OMEGA-3 (BONI);;1000 MG;;;;;80001254;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80001254;063935016065;;Autres médicaments;
A.G.OMEGA-3 (BONI) X-FORT;;1000 MG;;;;;80015733;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80015733;063935012098;;Autres médicaments;
A.G.OMEGA-3 COEUR;;500 MG;;;;;80102652;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80102652;063935024169;;Autres médicaments;
A.G.OMEGA-3 MINI;;300 MG;;;;;80104432;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80104432;063935024213;;Autres médicaments;
A.G.OMEGA-3 PETIT;;600 MG X-FORT;;;;;80102651;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80102651;063935024176;;Autres médicaments;
A.G.ONAGRE;;1000 MG;;;;;80000113;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80000113;063935026293;;Autres médicaments;
A.G.PHYTO CHARDON MARIE;;1200 MG;;;;;80015477;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80015477;063935006233;;Autres médicaments;
A.G.PHYTO ELIMINEX;;_;;;;;80028149;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80028149;063935005885;;Autres médicaments;
A.G.PHYTO GINKGO BILOBA;;80 MG;;;;;80006846;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80006846;063935006332;;Autres médicaments;
A.G.PHYTO PALMIER NAIN;;340 MG;;;;;80016059;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80016059;063935006394;;Autres médicaments;
A.G.PHYTO VALERIANE;;250 MG;;;;;80006427;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80006427;063935006141;;Autres médicaments;
A.G.PROBIOTIQUE & PREBIO.;;A/FOS;;;;;80025210;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80025210;063935012043;;Autres médicaments;
A.G.PROBIOX-6 YOGOURT;;6 MILLIARDS;;;;;80025502;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80025502;063935013521;;Autres médicaments;
A.G.PROBIOX 10 IMMUNITE;;10 MILLIARDS;;;;;80106118;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80106118;063935016614;;Autres médicaments;
A.G.PROSTA-MED INTENSE X-FORT;;300/250 MG;;;;;80050756;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80050756;063935015631;;Autres médicaments;
A.G.RELAXEN;;NUIT;;;;;80079699;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80079699;063935008183;;Autres médicaments;
A.G.RELAXEN;;ANTI-STRESS;;;;;80019404;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80019404;063935012999;;Autres médicaments;
A.G.SELECT CANNEBERGE X-F;;_;;;;;80043619;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80043619;063935018786;;Autres médicaments;
A.G.SELECT LUTEINE;;10 MG;;;;;80021630;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80021630;063935007100;;Autres médicaments;
A.G.SELECT OMEGA 3;;SAUMON PL;;;;;80003863;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80003863;063935013668;;Autres médicaments;
A.G.SELECT OMEGA 3.6.9;;ECONO;;;;;80004008;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80004008;063935010254;;Autres médicaments;
A.G.TENDOFLEX;;A/TENDOACT;;;;;80087026;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80087026;063935021465;;Autres médicaments;
A.G.ULTRA LECITHINE;;1000 MG;;;;;80004221;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80004221;063935008060;;Autres médicaments;
A.G.VIT.B100 COMPLEXE;;LIB.PROLONGEE;;;;;80042638;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80042638;063935011176;;Autres médicaments;
A.G.VIT.B12;;1000 MCG;;;;;80015220;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80015220;063935014559;;Autres médicaments;
A.G.VIT.C;;500 MG ORANGE;;;;;80021794;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80021794;063935010100;;Autres médicaments;
A.G.VIT.C S/SUCRE (GUMMIES);;125 MG;;;;;80048507;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80048507;063935025555;;Autres médicaments;
A.G.VIT.C X-FORT;;1000 MG;;;;;80016694;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80016694;063935014603;;Autres médicaments;
A.G.VIT.D+PRIME;;1000UI;;;;;80003700;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80003700;063935014573;;Autres médicaments;
A.G.VIT.D3;;2500 UI;;;;;80111009;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80111009;063935025944;;Autres médicaments;
A.G.VIT.D3;;1000UI;;;;;80040791;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80040791;063935023667;;Autres médicaments;
A.G.VIT.D3 GUMMIES S/SUCRE;;1000 UI;;;;;80048509;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80048509;063935025548;;Autres médicaments;
A.G.VIT.E;;400 UI;;;;;80001890;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80001890;063935011855;;Autres médicaments;
A.G.VITAMINE D;;1000 UI;;;;;80051598;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80051598;063935025449;;Autres médicaments;
A.G.ZINC;;50 MG;;;;;80040515;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80040515;063935014511;;Autres médicaments;
A.G.ZINC GUMMIES;;25 MG;;;;;80114876;;;_;;SANTE NAT.;0;0;Ext.;0.00;0.00;;;80114876;063935026200;;Autres médicaments;
A.VOGEL ECHINAF.FORTE;;1200MG;;;;;80021981;;;_;;BIOFORCE;0;0;Ext.;0.00;0.00;;;80021981;058854138219;;Autres médicaments;
A.VOGEL ECHINAF.JUNIOR;;RHUME/GRIP;;;;;80018273;;;_;;BIOFORCE;0;0;Ext.;0.00;0.00;;;80018273;058854137311;;Autres médicaments;
A.VOGEL MENOPAUSE;;_;;;;;80034857;;;_;;BIOFORCE;0;0;Ext.;0.00;0.00;;;80034857;058854394219;;Autres médicaments;
AA AMILZIDE;;5-50 MG;;;;;00784400;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;00784400;660933002566;;Autres médicaments;
AA ATENIDONE;;100-25 MG;;;;;02248764;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;02248764;660933002849;;Autres médicaments;
AA ATENIDONE;;50-25 MG;;;;;02248763;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;02248763;660933002832;;Autres médicaments;
AA CLOZAPINE;;200 MG;;;;;02458756;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;02458756;660933002009;;Autres médicaments;
AA CLOZAPINE;;50 MG;;;;;02458748;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;02458748;660933001996;;Autres médicaments;
AA CLOZAPINE;;100 MG;;;;;02248035;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;02248035;660933001972;;Autres médicaments;
AA CLOZAPINE;;25 MG;;;;;02248034;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;02248034;660933001989;;Autres médicaments;
AA FENO MICRO;;67 MG;;;;;02243180;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;02243180;660933002771;;Autres médicaments;
AA FENO SUPER;;100 MG;;;;;02246859;;;_;;AA PHARMA;0;0;Ext.;0.58;0.00;;;02246859;660933003013;;Autres médicaments;
AA METOPROLOL SR;;200 MG;;;;;02285177;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;02285177;771313173667;;Autres médicaments;
AA TELMISARTAN-AMLODIPINE;;80-10MG;;;;;02473496;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;02473496;660933002931;;Autres médicaments;
AA TELMISARTAN-AMLODIPINE;;80-5MG;;;;;02473488;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;02473488;660933002924;;Autres médicaments;
AA THEO LA;;300 MG;;;;;00692700;;;_;;AA PHARMA;0;0;Ext.;0.00;0.00;;;00692700;660933002696;;Autres médicaments;
